EXP_INFO, , ,Checkpoint,ckpt/0301/15_base05_dumbTask1/, , ,Config,ckpt/0301/15_base05_dumbTask1/config.yaml, , ,Arg,"train.py --config ckpt/0301/15_base05_dumbTask1/config.yaml -c ckpt/0301/15_base05_dumbTask1/ -gpu 4,5,6,7 -bs 768 -normalize_2d 0 -normalize_3d 0 -dumb_task COPY,COPY2D,FPEhis,MPhis,MP2D,MC2D", , ,PID,3604542
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
1,0.00020000,0.15215,166.16,137.47,157.8,176.41,153.98,166.53,180.5,130.04,203.0,206.56,226.99,160.34,152.26,128.33,172.0,140.24,79.09,76.82,78.17,79.82,81.55,80.72,78.49,79.83,81.44,83.13,120.83,120.83,113.45,113.45,140.71,142.72,138.71,152.07,140.5,148.37,156.3,163.09,152.29,140.77,148.61,156.51,163.28,186.94,186.94,204.45,204.45,250.75,251.06,250.44,152.13,147.22,150.37,154.07,156.87,252.43,250.73,251.75,253.08,254.17,308.19,308.19,209.02,209.02
2,0.00019800,0.06225,94.65,78.5,83.46,89.06,90.73,87.39,112.64,81.33,89.2,113.77,146.18,86.75,94.49,83.48,96.66,86.12,32.82,24.47,30.1,35.75,40.95,51.66,46.66,49.85,53.35,56.8,82.39,82.39,95.11,95.11,64.34,66.46,62.21,74.1,52.32,68.11,82.29,93.7,85.04,67.01,79.92,91.8,101.43,110.86,110.86,146.0,146.0,224.77,225.0,224.54,64.23,47.87,59.67,70.84,78.55,227.86,225.04,226.77,228.93,230.69,246.02,246.02,170.12,170.12
3,0.00019602,0.04177,73.28,61.32,65.34,69.22,71.66,70.63,90.45,65.29,70.59,79.83,100.28,69.77,69.23,67.59,77.61,70.35,22.55,14.49,19.25,25.38,31.09,39.48,34.68,37.26,41.02,44.97,55.68,55.68,65.7,65.7,50.24,49.84,50.64,55.09,34.81,46.54,62.51,76.51,63.67,47.8,56.12,69.37,81.39,86.8,86.8,128.06,128.06,227.32,227.38,227.25,44.33,26.87,37.69,51.6,61.15,229.66,227.73,228.77,230.4,231.73,253.48,253.48,121.16,121.16
4,0.00019406,0.03144,67.63,56.97,62.04,59.15,63.95,66.79,79.73,62.67,65.41,72.61,96.55,65.3,66.62,62.96,70.3,63.43,19.84,14.76,15.56,21.28,27.75,37.06,32.96,34.51,38.22,42.56,48.21,48.21,145.38,145.38,38.93,39.4,38.47,49.01,36.03,37.43,52.79,69.77,56.64,46.26,46.86,59.19,74.23,74.31,74.31,277.15,277.15,217.21,217.39,217.03,38.89,26.96,30.34,43.57,54.67,219.53,217.63,218.61,220.42,221.47,228.11,228.11,279.31,279.31
5,0.00019212,0.02683,64.4,55.97,59.41,59.93,60.68,64.28,78.64,58.44,59.91,70.76,90.52,62.36,62.95,56.06,66.09,60.04,15.87,10.66,12.37,17.39,23.07,35.4,31.52,33.22,36.5,40.36,43.25,43.25,196.62,196.62,30.64,30.63,30.64,37.71,24.56,29.36,41.42,55.51,48.44,38.38,41.99,51.09,62.31,64.02,64.02,404.92,404.92,219.04,219.07,219.01,30.56,17.36,23.4,35.57,45.9,220.76,219.13,219.93,221.38,222.59,206.79,206.79,402.42,402.42
6,0.00019020,0.02301,63.54,53.21,59.71,52.85,57.85,60.69,76.26,56.19,68.16,72.43,100.7,59.55,61.99,51.36,66.85,55.25,14.5,9.57,11.26,15.78,21.4,34.86,31.35,32.87,35.84,39.39,40.33,40.33,118.77,118.77,27.97,28.23,27.71,31.9,19.19,24.69,35.43,48.28,43.71,34.51,38.05,46.02,56.28,59.38,59.38,294.0,294.0,215.77,215.89,215.65,27.13,13.97,20.42,31.87,42.26,216.71,215.37,215.89,217.22,218.36,198.74,198.74,279.45,279.45
