EXP_INFO, , ,Checkpoint,ckpt/0301/26_base05_moreloss_noangleloss_4gpu/, , ,Config,ckpt/0301/26_base05_moreloss_noangleloss_4gpu/config.yaml, , ,Arg,"train.py --config ckpt/0301/26_base05_moreloss_noangleloss_4gpu/config.yaml -c ckpt/0301/26_base05_moreloss_noangleloss_4gpu/ -gpu 4,5,6,7 -bs 768", , ,PID,2060872
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
10,0.00018270,0.02509,60.05,52.19,55.88,54.65,56.69,60.32,73.68,53.63,54.44,69.63,81.21,58.8,59.58,51.99,61.81,56.24,15.05,11.52,12.64,15.88,20.17,32.17,28.96,30.43,33.05,36.27,36.94,36.94,64.03,64.03,28.81,29.87,27.74,24.52,14.58,18.76,27.51,37.25,35.63,28.04,31.04,37.74,45.69,53.42,53.42,202.5,202.5,223.46,226.22,220.71,53.95,18.64,40.56,67.92,88.67,220.26,215.29,217.68,221.88,226.18,179.32,179.32,210.93,210.93
11,0.00018088,0.02392,56.88,47.93,53.96,54.35,51.94,58.39,68.82,50.63,54.36,66.93,81.49,57.69,54.4,45.8,59.71,46.76,13.46,9.8,10.93,14.31,18.79,32.39,29.17,30.7,33.26,36.43,38.14,38.14,42.84,42.84,27.73,27.83,27.62,24.34,15.05,18.54,26.95,36.84,37.88,31.13,33.53,39.6,47.26,60.22,60.22,103.97,103.97,217.42,219.95,214.89,51.48,18.69,38.57,64.21,84.46,215.68,210.57,213.01,217.26,221.86,266.31,266.31,123.24,123.24
13,0.00017728,0.02205,53.96,45.79,51.42,50.59,48.3,54.62,65.71,47.66,50.94,64.52,78.12,54.08,52.44,42.52,57.32,45.41,12.39,8.5,9.93,13.38,17.74,30.55,27.19,28.88,31.51,34.64,33.26,33.26,43.35,43.35,24.86,25.04,24.68,21.83,11.67,16.09,24.95,34.6,33.84,26.69,29.44,35.77,43.46,48.74,48.74,100.4,100.4,219.94,223.28,216.6,48.46,14.71,36.38,61.72,81.02,217.58,212.61,215.19,219.19,223.33,197.8,197.8,116.41,116.41
15,0.00017375,0.02078,58.37,52.41,57.37,54.27,53.35,59.84,68.8,54.14,54.18,67.14,79.26,59.52,56.87,49.07,59.46,49.89,15.14,11.91,12.9,15.87,19.87,32.44,29.53,30.85,33.21,36.15,36.04,36.04,45.99,45.99,25.18,25.43,24.94,22.09,12.47,16.74,24.95,34.2,33.91,26.82,29.67,35.83,43.33,51.34,51.34,111.17,111.17,218.55,221.4,215.69,51.09,16.93,38.39,64.51,84.54,217.92,213.28,215.63,219.37,223.41,219.54,219.54,120.94,120.94
17,0.00017029,0.01936,55.58,49.84,54.29,51.99,49.55,58.16,66.96,50.74,51.31,66.9,78.22,57.06,53.33,43.05,55.62,46.66,12.54,8.82,10.17,13.46,17.69,31.72,28.87,30.17,32.45,35.37,32.03,32.03,44.15,44.15,22.7,23.01,22.39,19.64,9.22,14.5,22.88,31.94,31.91,24.72,27.91,33.9,41.13,45.22,45.22,127.75,127.75,218.86,221.82,215.9,48.69,13.57,36.72,62.19,82.28,218.25,214.08,216.07,219.51,223.34,193.51,193.51,140.28,140.28
19,0.00016690,0.02029,63.26,55.8,63.33,56.71,59.21,63.36,71.56,58.79,59.32,67.86,80.72,61.71,61.67,60.26,67.97,60.64,14.43,11.35,12.26,15.11,19.0,31.02,27.94,29.36,31.86,34.92,34.67,34.67,49.23,49.23,43.93,46.9,40.96,23.93,15.01,18.63,26.46,35.61,34.25,27.48,30.03,36.0,43.48,52.52,52.52,147.17,147.17,221.07,224.55,217.59,53.21,19.14,39.77,66.49,87.43,216.77,211.81,214.31,218.4,222.58,178.48,178.48,154.87,154.87
21,0.00016358,0.01753,51.93,46.41,50.94,47.7,46.19,54.13,64.24,47.7,45.78,63.59,74.68,52.93,50.88,39.91,52.19,41.63,10.38,6.51,7.83,11.38,15.79,29.67,26.62,28.03,30.49,33.55,31.05,31.05,37.8,37.8,26.65,27.94,25.35,18.82,8.55,13.21,21.94,31.58,30.38,22.83,25.96,32.46,40.27,43.66,43.66,135.49,135.49,218.45,221.56,215.35,46.69,12.09,34.07,59.99,80.6,217.16,212.75,214.85,218.54,222.49,192.62,192.62,141.99,141.99
23,0.00016033,0.01672,52.32,45.21,51.37,49.46,46.31,55.13,62.87,48.1,48.48,61.69,74.83,53.37,50.1,41.32,53.63,42.85,9.82,5.87,7.29,10.83,15.28,28.97,25.81,27.26,29.82,32.98,30.41,30.41,42.84,42.84,22.0,22.24,21.76,18.61,8.63,13.43,21.7,30.68,29.72,22.54,25.57,31.69,39.07,43.4,43.4,101.65,101.65,221.29,224.54,218.04,46.47,12.82,34.64,59.32,79.1,219.44,215.11,217.19,220.8,224.66,163.96,163.96,117.02,117.02
25,0.00015714,0.01609,52.33,48.37,52.43,46.36,47.64,53.67,63.0,48.51,46.63,62.3,74.75,52.77,51.79,40.71,52.34,43.66,9.45,5.25,6.78,10.58,15.18,28.94,25.86,27.31,29.78,32.8,30.18,30.18,49.6,49.6,20.78,20.95,20.61,18.29,8.07,12.74,21.43,30.93,29.03,21.62,24.58,31.06,38.88,42.63,42.63,101.14,101.14,220.38,223.53,217.23,48.66,12.37,35.14,62.62,84.5,218.26,214.24,216.13,219.46,223.19,195.68,195.68,115.32,115.32
27,0.00015401,0.01544,52.17,47.16,51.85,48.73,47.26,54.14,63.12,46.83,48.9,60.58,71.43,53.26,50.34,41.66,53.6,43.63,9.87,5.98,7.48,10.88,15.12,28.93,25.69,27.27,29.84,32.94,29.44,29.44,40.18,40.18,20.31,20.43,20.19,17.52,7.85,12.32,20.44,29.47,30.09,23.12,26.09,31.98,39.16,42.86,42.86,91.36,91.36,223.2,226.9,219.49,45.97,12.15,33.81,58.9,79.01,219.89,215.69,217.72,221.21,224.93,199.79,199.79,111.9,111.9
29,0.00015094,0.01500,51.47,47.02,51.29,48.08,45.65,53.98,61.67,47.39,47.27,60.6,72.92,52.96,48.93,39.71,52.42,42.12,10.4,6.74,8.03,11.3,15.52,29.09,26.05,27.47,29.91,32.92,29.66,29.66,41.19,41.19,20.47,20.65,20.29,18.44,8.83,13.18,21.25,30.52,31.9,25.24,27.85,33.58,40.94,41.58,41.58,96.21,96.21,221.09,224.53,217.65,48.18,13.06,35.18,61.71,82.78,218.06,214.45,215.88,219.09,222.84,161.03,161.03,116.3,116.3
31,0.00014794,0.01435,49.83,44.0,50.02,45.24,45.29,53.12,61.15,45.86,45.84,59.11,70.69,50.89,47.82,38.13,49.77,40.57,9.68,6.02,7.34,10.59,14.76,28.45,25.4,26.84,29.28,32.3,29.6,29.6,41.08,41.08,20.57,20.55,20.59,18.29,8.9,13.33,21.18,29.76,29.81,22.8,25.8,31.77,38.86,42.76,42.76,92.03,92.03,221.79,225.26,218.32,45.34,12.11,33.43,58.22,77.61,219.95,216.25,217.89,221.07,224.57,194.72,194.72,113.45,113.45
33,0.00014500,0.01405,51.64,47.83,52.49,46.81,47.03,52.84,60.3,48.89,47.09,59.44,72.83,52.0,50.81,40.76,52.24,43.22,8.87,5.08,6.39,9.86,14.17,28.42,25.26,26.75,29.29,32.38,29.58,29.58,44.39,44.39,19.95,20.01,19.9,17.18,7.75,12.11,20.01,28.82,30.81,24.18,26.84,32.54,39.67,42.31,42.31,104.97,104.97,219.5,223.1,215.9,46.08,11.11,33.33,59.59,80.28,216.41,212.08,213.96,217.73,221.86,230.7,230.7,122.69,122.69
35,0.00014211,0.01349,50.28,45.85,50.49,46.17,44.64,52.0,60.29,47.03,45.41,58.53,69.97,51.83,47.66,40.0,52.5,41.83,9.18,5.19,6.74,10.24,14.57,28.51,25.31,26.84,29.4,32.5,28.65,28.65,43.33,43.33,20.63,20.54,20.71,17.95,8.21,12.86,20.88,29.86,29.35,22.06,25.18,31.31,38.86,42.9,42.9,103.0,103.0,218.62,221.26,215.98,46.83,12.1,34.29,60.44,80.51,217.24,212.95,214.97,218.66,222.38,203.16,203.16,122.64,122.64
37,0.00013928,0.01300,50.87,46.82,50.29,48.2,46.23,53.3,62.37,47.51,45.37,59.61,69.86,52.63,47.71,39.54,50.38,43.23,7.93,3.73,5.41,9.08,13.48,28.1,24.94,26.42,28.97,32.08,28.12,28.12,41.64,41.64,19.09,19.13,19.05,17.06,7.05,11.86,20.17,29.18,28.85,21.52,24.67,30.92,38.31,41.06,41.06,107.61,107.61,217.84,220.21,215.47,44.72,10.67,32.48,57.97,77.76,218.12,214.51,215.99,219.25,222.75,191.72,191.72,121.71,121.71
39,0.00013651,0.01275,51.04,47.43,51.25,46.83,46.88,52.6,62.68,47.51,46.78,58.9,69.87,51.31,49.52,40.07,50.56,43.45,7.84,3.76,5.31,8.95,13.36,27.5,24.36,25.82,28.35,31.48,27.87,27.87,39.81,39.81,19.23,19.29,19.17,16.22,6.37,11.05,19.21,28.23,28.3,21.27,24.21,30.18,37.52,39.96,39.96,106.75,106.75,219.77,223.03,216.51,44.3,10.12,31.99,57.61,77.48,216.6,213.02,214.55,217.63,221.19,224.5,224.5,126.09,126.09
41,0.00013379,0.01231,49.74,44.61,50.44,46.82,44.31,51.68,60.97,46.12,46.38,57.85,71.13,50.83,47.26,37.83,50.16,39.74,7.66,3.41,5.08,8.83,13.32,28.08,24.88,26.39,28.94,32.08,27.93,27.93,49.97,49.97,18.63,18.7,18.56,16.47,6.32,11.33,19.64,28.61,29.27,22.15,25.17,31.28,38.48,40.38,40.38,123.73,123.73,217.89,220.12,215.65,47.06,10.88,33.62,60.85,82.88,217.62,213.76,215.47,218.79,222.48,207.44,207.44,135.53,135.53
43,0.00013113,0.01199,49.64,46.52,50.5,46.49,45.25,52.14,61.1,46.88,44.45,57.37,68.07,50.22,48.0,38.02,48.11,41.53,7.4,3.1,4.85,8.61,13.06,27.84,24.7,26.14,28.69,31.81,27.61,27.61,43.35,43.35,18.86,19.04,18.69,15.41,5.47,10.14,18.42,27.6,26.91,19.86,22.62,28.74,36.44,39.84,39.84,98.4,98.4,219.55,222.05,217.05,44.86,9.38,31.91,58.48,79.66,217.95,214.13,215.66,219.08,222.94,184.62,184.62,115.57,115.57
