EXP_INFO, , ,PID,1868289, , , , ,"train.py --config ckpt/0502_AMASS_H36MMESH/07_smalldata_ApcbHecb_M01V0201_vx1000/config.yaml -c ckpt/0502_AMASS_H36MMESH/07_smalldata_ApcbHecb_M01V0201_vx1000/ -gpu 6,7 -bs 256 -vertex_x1000 -out 050207", , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/07_smalldata_ApcbHecb_M01V0201_vx1000/, , ,Config,ckpt/0502_AMASS_H36MMESH/07_smalldata_ApcbHecb_M01V0201_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
13,0.00017728,0.32197,288.75521,289.07719,102.85,95.04,100.3,105.65,110.15,116.2,99.65,77.05,87.86,67.84,109.43,109.43,109.44,91.86,69.4,81.54,61.65,91.92,91.92,98.31,82.53,60.8,73.77,54.02,158.34,163.54,157.26,155.71,161.22,193.29,164.6,92.68,150.94,85.7,171.02,171.02,192.37,161.05,102.55,144.9,93.95,152.36,152.36,177.41,149.34,91.61,136.23,83.93
15,0.00017375,0.30081,276.21657,276.51738,102.47,94.32,99.48,105.43,110.71,105.21,91.14,73.28,80.06,64.51,109.86,109.86,98.0,82.94,65.92,73.19,58.47,90.17,90.17,86.88,73.59,58.05,65.35,51.57,128.52,133.14,128.33,126.28,129.65,135.51,115.3,77.47,103.94,71.15,151.56,151.56,143.53,116.45,86.54,104.15,78.78,135.08,135.08,139.6,116.32,80.1,104.89,73.37
17,0.00017029,0.26668,258.93420,259.20087,97.79,90.37,92.95,100.95,109.53,87.12,75.66,60.9,66.31,54.02,112.43,112.43,86.66,73.31,59.47,64.49,52.98,85.43,85.43,70.51,60.49,46.47,53.64,41.71,142.57,144.81,142.54,141.51,143.09,128.2,108.48,70.08,98.3,64.44,163.71,163.71,130.97,104.6,80.98,93.38,73.68,125.64,125.64,101.05,81.81,60.46,74.27,55.61
19,0.00016690,0.23498,240.88398,241.11896,92.27,82.4,85.71,96.92,107.64,81.93,68.37,57.08,60.05,50.79,105.81,105.81,81.75,66.08,56.15,58.2,50.12,78.84,78.84,62.39,49.78,39.9,44.25,35.88,111.46,112.85,111.54,110.8,111.96,108.54,90.65,62.64,82.19,57.4,126.89,126.89,108.1,83.35,71.05,74.02,64.14,94.08,94.08,76.42,59.87,48.92,54.27,44.73
21,0.00016358,0.21622,228.79461,229.01084,87.66,76.95,80.14,92.68,104.61,80.14,66.94,54.15,58.33,48.11,103.77,103.77,82.31,65.92,54.63,57.59,48.67,74.56,74.56,61.67,48.98,37.98,43.01,34.24,100.14,101.34,100.13,99.45,100.65,108.57,90.77,59.27,82.89,54.71,122.55,122.55,101.98,78.67,64.36,70.86,58.46,86.77,86.77,74.07,59.9,43.21,55.03,40.27
23,0.00016033,0.19883,217.56191,217.76074,110.34,108.42,108.2,111.09,115.44,115.49,97.45,75.36,86.11,66.87,128.85,128.85,118.01,99.23,75.69,87.52,67.23,103.9,103.9,105.07,88.89,68.83,78.8,61.41,154.98,158.03,156.77,153.5,151.31,131.13,116.01,69.05,105.56,64.22,168.32,168.32,108.54,89.91,65.78,80.61,60.05,126.6,126.6,76.44,65.57,40.87,60.22,38.22
25,0.00015714,0.20950,225.29066,225.50016,70.98,58.51,62.89,76.75,89.62,68.21,57.78,47.11,50.93,42.06,85.44,85.44,65.95,53.64,45.57,47.42,40.84,56.31,56.31,43.8,34.89,25.61,31.46,23.47,93.56,95.11,93.79,92.78,93.61,96.71,80.47,52.41,73.42,48.0,101.18,101.18,83.13,62.62,54.35,56.0,49.16,67.13,67.13,52.89,41.86,31.9,38.32,29.59
27,0.00015401,0.18655,209.83147,210.01802,77.7,72.16,72.64,80.24,88.96,80.18,68.21,52.95,60.34,47.41,112.73,112.73,87.63,77.69,58.17,68.26,52.99,66.25,66.25,59.51,49.68,33.63,44.72,30.82,103.82,104.26,104.08,103.18,104.4,104.04,87.79,54.85,79.4,50.63,117.61,117.61,93.48,74.91,57.86,66.75,52.63,77.74,77.74,61.2,51.47,32.88,46.93,30.64
29,0.00015094,0.17898,205.08562,205.26460,57.4,51.56,51.17,59.75,71.96,60.54,50.56,40.03,44.58,35.93,78.71,78.71,67.64,54.53,44.87,48.05,40.36,46.84,46.84,45.53,36.12,25.96,32.19,23.8,81.85,82.43,81.64,81.66,82.85,98.19,82.52,51.3,75.56,47.44,92.09,92.09,83.96,64.78,52.42,58.01,47.63,55.48,55.48,56.03,45.94,29.86,42.21,27.85
31,0.00014794,0.17582,202.50564,202.68147,63.15,57.51,57.79,65.05,76.35,55.44,45.53,35.68,40.31,32.16,82.04,82.04,59.85,47.28,39.4,41.7,35.43,55.75,55.75,40.41,30.49,21.89,27.39,20.22,101.17,102.76,101.47,100.49,101.1,99.59,83.94,50.65,77.02,47.07,105.16,105.16,81.55,62.06,49.86,55.83,45.22,74.02,74.02,56.76,46.11,28.3,42.72,26.38
33,0.00014500,0.16981,197.98880,198.15861,86.49,83.46,84.21,87.17,93.06,75.28,64.63,51.48,57.37,46.15,111.19,111.19,91.3,77.18,63.81,68.06,57.03,76.56,76.56,61.45,51.64,40.32,46.33,36.42,125.52,125.38,125.79,125.32,125.45,116.68,101.05,62.22,91.86,57.24,118.39,118.39,84.11,65.38,53.93,58.38,49.06,84.57,84.57,56.74,45.64,31.37,41.72,29.21
35,0.00014211,0.17688,203.73758,203.91447,62.64,56.63,57.97,64.63,74.79,50.56,42.16,32.46,37.41,29.19,83.64,83.64,58.63,46.68,39.93,41.14,35.59,54.12,54.12,39.09,30.67,22.14,27.42,20.08,96.47,97.88,96.62,96.0,96.55,96.79,80.5,49.77,73.92,45.92,104.35,104.35,81.98,61.49,49.67,56.03,45.14,69.52,69.52,52.37,41.5,27.68,38.99,25.76
37,0.00013928,0.16266,194.05270,194.21537,67.79,62.68,64.1,69.24,78.01,50.73,41.97,30.46,37.46,27.95,88.29,88.29,59.88,48.09,39.29,42.47,35.7,62.1,62.1,38.13,29.67,19.43,27.0,18.32,79.43,79.84,79.15,79.38,80.37,87.88,73.1,45.98,67.19,42.36,95.32,95.32,71.31,52.74,47.99,46.91,43.44,64.64,64.64,42.9,33.27,25.77,30.46,24.01
39,0.00013651,0.16018,191.99976,192.15994,54.84,49.24,51.4,56.59,64.37,49.95,40.58,30.29,36.19,27.45,73.25,73.25,57.73,45.36,38.49,40.05,34.51,46.34,46.34,37.59,28.46,20.12,25.69,18.48,92.09,93.58,91.97,91.54,92.66,88.31,74.47,46.89,68.43,43.43,91.51,91.51,69.71,52.68,46.04,47.15,41.95,58.72,58.72,42.68,34.03,25.17,31.39,23.52
41,0.00013379,0.16691,197.03223,197.19913,57.41,51.71,53.57,59.28,67.67,49.57,39.85,29.15,35.32,26.27,76.77,76.77,56.47,44.19,36.88,38.91,32.88,51.3,51.3,38.06,28.71,19.23,25.64,17.49,98.12,99.09,98.09,97.68,99.07,89.68,74.35,46.1,68.38,42.46,97.57,97.57,69.52,50.43,44.56,45.33,40.43,71.08,71.08,44.7,33.85,24.29,31.39,22.75
43,0.00013113,0.16152,193.55311,193.71463,55.6,50.77,52.31,57.06,64.52,53.99,45.37,35.22,40.5,31.69,76.17,76.17,63.37,51.72,42.64,46.03,38.16,49.0,49.0,41.28,32.73,23.3,29.77,21.3,86.33,86.88,86.14,86.08,87.59,91.47,76.18,46.44,70.09,43.02,91.25,91.25,76.58,58.61,46.21,53.24,42.17,60.22,60.22,51.97,41.69,25.96,38.96,24.44
45,0.00012852,0.15277,187.74545,187.89822,46.69,40.9,42.77,48.52,57.24,49.87,40.61,31.14,36.11,28.04,64.2,64.2,56.39,44.56,37.57,39.35,33.61,40.23,40.23,40.94,32.17,22.9,28.89,20.83,70.79,71.35,70.41,70.7,71.94,89.7,75.38,47.33,68.87,44.13,76.73,76.73,69.59,51.54,45.07,46.19,41.07,45.28,45.28,45.88,35.89,25.51,33.09,23.89
47,0.00012596,0.14879,185.91049,186.05928,55.38,50.42,52.0,56.98,64.38,49.98,40.93,30.26,36.81,27.29,74.41,74.41,57.07,45.46,37.98,40.4,33.98,49.37,49.37,37.76,29.13,19.89,26.62,18.2,99.41,101.12,99.79,98.84,99.15,84.58,70.4,44.19,64.47,40.74,102.58,102.58,69.3,51.44,44.7,46.07,40.39,74.21,74.21,43.2,34.2,24.39,31.43,22.47
49,0.00012346,0.14788,184.93814,185.08602,47.26,41.66,43.51,49.11,57.16,49.3,39.96,28.59,35.78,26.05,68.4,68.4,60.23,48.26,39.42,42.67,35.31,40.75,40.75,38.94,30.11,20.61,27.25,18.97,82.48,83.76,82.42,82.07,83.13,89.7,75.42,44.5,69.42,40.92,81.86,81.86,69.41,51.33,43.8,46.07,39.67,48.24,48.24,42.46,32.99,23.03,30.56,21.26
