EXP_INFO, , ,PID,899740, , , , ,"train.py --config ckpt/0502_AMASS_H36MMESH/99_smalldata_ApcbHecb_Mcvpr_vx1000/config.yaml -c ckpt/0502_AMASS_H36MMESH/99_smalldata_ApcbHecb_Mcvpr_vx1000/ -gpu 4,5 -bs 360 -vertex_x1000 -out 050299", , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/99_smalldata_ApcbHecb_Mcvpr_vx1000/, , ,Config,ckpt/0502_AMASS_H36MMESH/99_smalldata_ApcbHecb_Mcvpr_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
13,0.00017728,0.35368,308.42264,308.77632,118.93,111.57,116.38,121.52,126.19,157.43,134.68,92.86,120.33,84.38,139.51,139.51,161.51,138.86,89.81,124.59,82.44,122.54,122.54,160.21,138.27,84.88,125.14,79.15,176.93,182.17,175.3,174.73,180.29,226.48,188.17,112.64,169.97,103.47,201.56,201.56,239.56,200.39,116.23,180.31,107.02,177.06,177.06,227.11,189.49,112.79,171.47,103.8
15,0.00017375,0.33329,296.06543,296.39872,105.38,96.55,102.12,108.51,114.52,114.64,98.25,78.35,86.32,69.26,119.65,119.65,116.78,98.73,77.71,87.29,69.04,96.42,96.42,101.55,85.3,66.91,75.69,59.46,171.81,181.18,171.42,167.52,172.56,213.65,183.48,105.89,164.73,97.07,191.27,191.27,226.77,191.51,113.78,171.32,104.32,165.64,165.64,206.65,174.63,106.65,157.1,97.8
17,0.00017029,0.32351,290.44700,290.77052,106.92,96.67,103.23,110.59,117.28,110.58,95.43,76.72,83.75,67.75,121.4,121.4,108.69,92.01,74.37,81.17,66.0,95.38,95.38,94.31,79.75,64.2,70.46,57.01,167.77,176.55,165.88,163.42,173.06,179.73,151.24,96.53,136.4,88.39,192.16,192.16,190.5,156.65,105.58,140.72,96.45,158.3,158.3,166.08,137.12,96.09,123.82,87.87
19,0.00016690,0.32608,293.08022,293.40630,86.89,75.34,82.94,90.97,98.18,108.97,94.61,76.02,83.02,67.11,98.08,98.08,106.02,90.58,73.15,79.96,64.91,73.05,73.05,90.74,77.69,62.71,68.66,55.67,138.57,149.13,136.48,133.54,143.66,184.7,154.78,99.23,139.31,91.07,154.96,154.96,191.02,156.78,106.25,140.76,97.03,127.96,127.96,172.36,141.65,98.35,127.71,89.98
21,0.00016358,0.32256,290.00963,290.33219,93.07,83.81,89.7,96.35,102.55,112.63,97.07,76.42,85.47,67.54,107.16,107.16,111.64,95.3,76.07,84.28,67.49,83.23,83.23,98.03,83.88,66.72,74.43,59.26,146.18,156.34,143.93,141.03,152.33,180.73,151.68,99.21,136.13,91.12,167.17,167.17,191.4,157.79,106.2,141.4,97.09,136.7,136.7,172.71,141.2,99.15,126.94,90.66
23,0.00016033,0.31333,285.17775,285.49107,91.89,79.56,87.49,96.3,104.25,107.14,92.72,74.32,81.52,65.87,104.62,104.62,103.05,87.82,71.59,77.46,63.72,78.95,78.95,88.98,75.47,61.13,66.74,54.53,141.99,154.41,139.76,135.25,149.18,162.38,136.09,90.98,122.93,83.52,164.01,164.01,176.32,143.86,101.26,129.31,92.35,134.81,134.81,155.1,127.2,91.94,114.75,84.03
25,0.00015714,0.31159,284.14488,284.45647,82.12,68.34,77.27,87.04,95.78,103.21,89.93,72.61,78.84,64.13,92.41,92.41,98.5,84.55,69.48,74.44,61.58,68.51,68.51,84.65,72.44,59.17,63.94,52.55,126.12,140.73,123.2,118.14,134.73,159.93,134.69,89.54,121.55,82.2,143.71,143.71,170.71,139.19,99.42,125.03,90.58,117.49,117.49,150.26,123.98,89.89,111.79,82.16
27,0.00015401,0.30663,280.92780,281.23443,97.65,85.1,93.02,102.16,110.55,100.08,87.29,70.67,76.52,62.44,107.13,107.13,96.64,82.76,68.8,72.76,61.01,84.77,84.77,82.26,70.55,57.69,62.26,51.29,131.59,145.52,127.12,124.08,143.0,156.59,131.92,87.98,119.01,80.94,150.71,150.71,166.86,135.85,97.91,121.89,89.26,124.85,124.85,146.65,121.25,87.77,109.26,80.29
29,0.00015094,0.30389,279.39912,279.70301,82.46,68.74,77.49,87.4,96.36,100.4,86.78,70.65,76.04,62.41,92.68,92.68,95.65,81.36,68.0,71.45,60.26,68.96,68.96,82.47,70.06,57.56,61.8,51.19,128.04,141.6,124.23,120.54,138.77,155.9,130.39,87.61,117.46,80.59,145.69,145.69,162.36,132.4,95.79,118.63,87.3,119.82,119.82,145.21,120.02,86.43,107.92,79.08
31,0.00014794,0.30066,277.00904,277.30970,89.94,77.18,85.1,94.56,103.3,99.19,85.99,69.22,75.44,61.18,99.3,99.3,96.16,81.78,67.72,72.02,60.03,78.56,78.56,82.37,70.44,57.03,62.32,50.77,119.19,131.01,112.53,113.09,134.12,150.58,126.62,84.96,114.52,77.99,134.0,134.0,159.95,129.63,94.69,116.44,86.14,111.43,111.43,141.9,117.05,85.57,105.52,78.12
