EXP_INFO, , ,PID,2049779, , , , ,"train.py --config ckpt/0502_AMASS_H36MMESH/03_smalldata_M01V02/config.yaml -c ckpt/0502_AMASS_H36MMESH/03_smalldata_M01V02/ -gpu 4,5 -bs 256 -out 050203", , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/03_smalldata_M01V02/, , ,Config,ckpt/0502_AMASS_H36MMESH/03_smalldata_M01V02/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.65178,155.87645,156.52823,318.28,318.4,318.23,318.21,318.4,160.17,138.81,79.21,124.02,70.18,338.78,338.78,170.59,149.54,79.53,134.33,70.42,319.2,319.2,147.54,128.58,69.58,115.49,61.83,485.37,488.47,488.16,483.91,480.35,870.23,844.3,95.29,787.79,86.37,513.06,513.06,881.35,854.92,108.75,797.67,98.99,479.95,479.95,871.24,845.25,95.12,788.65,85.92
2,0.00019800,0.64258,141.32867,141.97125,247.36,247.2,247.15,247.37,247.98,160.8,140.51,80.74,124.51,70.92,263.37,263.37,173.62,151.62,74.17,136.37,65.79,247.5,247.5,137.42,118.04,59.12,105.63,52.16,515.42,519.06,518.51,513.77,509.55,855.28,837.22,88.07,780.15,79.3,547.16,547.16,873.98,853.16,101.81,795.09,92.53,508.44,508.44,854.8,837.42,86.17,780.51,77.7
3,0.00019602,0.64351,135.64186,136.28537,306.79,306.76,306.66,306.77,307.18,147.78,129.62,75.78,114.77,66.57,326.47,326.47,143.45,124.96,62.19,111.87,55.17,306.25,306.25,113.2,99.08,47.89,88.69,42.76,481.54,485.24,484.73,479.9,475.67,856.68,835.88,90.96,777.78,82.29,509.69,509.69,870.09,847.76,96.5,789.32,87.61,479.12,479.12,858.66,838.5,82.46,780.12,74.87
4,0.00019406,0.64303,131.78579,132.42882,202.74,202.68,202.59,202.73,203.15,132.7,116.54,68.13,103.97,59.87,215.26,215.26,119.9,104.27,52.74,93.59,46.85,203.64,203.64,98.08,86.14,39.75,78.06,35.48,543.87,547.4,546.83,542.27,538.23,842.33,821.06,71.31,764.69,64.63,578.2,578.2,854.26,833.04,77.18,776.17,70.01,542.33,542.33,843.45,823.65,59.22,767.1,54.45
5,0.00019212,0.64076,128.93257,129.57334,293.85,293.95,293.71,293.88,293.84,122.87,106.29,59.32,94.54,52.4,311.24,311.24,119.14,102.53,53.31,91.55,47.57,294.32,294.32,97.74,84.95,39.51,76.17,35.36,486.36,489.82,489.24,484.85,480.89,850.96,828.74,78.62,771.58,70.49,512.26,512.26,865.06,840.88,82.7,782.64,74.68,482.16,482.16,850.01,828.08,64.54,771.1,58.93
6,0.00019020,0.63925,126.49608,127.13533,290.33,290.59,290.15,290.29,290.44,111.4,96.51,51.29,86.24,45.39,305.82,305.82,109.24,93.97,48.12,84.29,42.85,290.72,290.72,89.19,77.76,34.7,69.99,31.01,485.07,487.87,487.03,483.82,481.32,832.29,812.76,67.39,756.98,60.94,510.71,510.71,842.29,822.15,70.64,765.79,64.01,482.51,482.51,828.41,810.75,54.76,755.42,50.12
