EXP_INFO, , ,PID,3779112, , , , ,/home/wxs/Skeleton-in-Context-tpami/train.py --config /home/wxs/Skeleton-in-Context-tpami/ckpt/0802_CombineTasks_TrainSimul/10_Train3dt/config.yaml -c /home/wxs/Skeleton-in-Context-tpami/ckpt/0802_CombineTasks_TrainSimul/10_Train3dt -vertex_x1000 -fully_connected_graph -train_simultaneously -gpu 0 -bs 160, , ,Checkpoint,/home/wxs/Skeleton-in-Context-tpami/ckpt/0802_CombineTasks_TrainSimul/10_Train3dt, , ,Config,/home/wxs/Skeleton-in-Context-tpami/ckpt/0802_CombineTasks_TrainSimul/10_Train3dt/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshPred, , , , , , , , , ,MeshCompletion, , , , , , , , , ,MeshInBetween, , , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshPred, , , , , , , , , ,MeshCompletion, , , , , , , , , ,MeshInBetween, , , , , , ,PE, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MP, , , , , , , , , ,MIB, , , , , , ,MeshPred, , , , , , , , , ,MeshCompletion, , , , , , , , , ,MeshInBetween, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.47471,376.13364,0.00000,134.94,135.3,134.78,134.89,135.06,166.41,143.35,94.55,126.88,84.42,135.18,134.94,135.07,135.21,135.59,167.28,144.11,94.75,127.41,84.48,148.48,148.48,166.99,144.22,95.61,127.3,85.33,124.56,124.13,124.32,124.66,125.26,147.1,125.98,94.61,111.17,84.31,124.21,124.21,146.09,125.46,93.91,110.85,83.81,166.99,167.17,167.0,166.89,167.01,206.63,179.04,96.48,157.18,86.32,167.5,167.49,167.38,167.59,167.63,208.06,180.03,96.39,158.25,86.41,176.86,176.86,225.6,195.51,95.14,171.65,85.28,256.52,257.03,256.21,256.36,256.93,362.33,318.48,127.98,282.13,119.34,257.92,258.1,257.88,257.42,258.57,361.1,318.59,127.27,282.71,118.65,271.03,271.03,359.58,313.77,128.95,277.88,120.55,249.2,248.8,249.07,248.87,250.29,350.86,308.75,125.92,273.71,118.03,247.9,247.9,352.04,308.9,126.62,273.26,118.68,263.13,264.08,263.48,262.34,262.96,353.15,312.02,127.05,276.63,118.69,272.85,272.93,272.49,272.96,273.17,369.83,326.46,127.99,289.7,119.67,262.69,262.69,356.76,313.09,128.35,277.13,119.76,212.13,212.31,211.76,212.26,212.49,277.41,239.59,94.49,212.33,87.7,212.91,212.76,212.69,213.02,213.22,278.31,240.34,94.18,213.15,87.43,221.29,221.29,270.24,233.35,93.3,207.02,86.29,205.42,205.11,205.13,205.55,205.88,265.53,230.87,91.85,204.68,85.02,204.7,204.7,264.4,230.35,91.82,204.23,84.99,228.88,228.87,228.66,228.96,228.96,290.7,246.78,104.36,218.38,95.89,239.4,239.44,239.11,239.58,239.61,303.34,262.39,101.01,233.23,93.08,228.45,228.45,290.28,246.65,103.41,218.34,94.99
2,0.00019800,0.43279,347.60823,0.00000,117.58,118.12,117.27,117.44,118.06,143.93,120.98,97.67,106.62,86.77,119.71,118.27,119.11,120.18,121.41,148.34,124.37,98.98,109.46,87.83,140.17,140.17,158.57,134.18,99.5,118.05,88.63,117.66,116.2,117.07,118.14,119.39,142.91,120.88,95.75,106.42,84.98,116.33,116.33,138.84,118.19,94.38,104.24,83.88,135.07,133.82,134.59,135.5,136.45,171.26,143.74,102.34,126.07,91.42,134.34,134.61,134.09,134.3,134.76,166.06,139.49,99.51,122.74,88.88,134.08,134.08,168.98,142.32,98.62,125.12,88.22,242.19,243.68,242.6,241.51,241.48,348.88,305.42,133.82,269.82,124.45,242.71,241.58,242.22,242.87,244.2,346.96,304.93,132.52,269.7,123.32,258.15,258.15,343.41,299.54,135.79,264.8,126.44,232.32,229.41,231.35,233.05,235.39,332.49,291.55,130.83,258.28,121.77,229.73,229.73,332.57,290.73,131.54,257.18,122.48,268.03,266.87,268.0,268.09,268.89,374.78,333.38,122.22,296.74,112.97,272.18,273.19,272.26,271.85,271.99,380.77,336.94,123.83,299.53,114.85,263.53,263.53,373.23,328.5,122.71,291.61,113.21,195.07,195.51,194.75,195.14,195.18,263.05,227.96,97.59,202.08,90.17,195.77,195.16,195.43,195.99,196.59,264.18,228.73,97.81,202.75,90.4,206.12,206.12,256.92,222.09,99.98,197.22,91.87,186.02,184.93,185.52,186.4,187.31,250.63,216.02,99.28,192.12,90.92,185.47,185.47,249.72,215.97,98.77,192.04,90.54,216.66,216.42,216.56,216.66,216.86,311.96,260.44,111.7,230.44,102.25,218.88,218.89,218.63,218.99,219.17,310.06,263.26,105.32,233.4,96.72,215.44,215.44,308.59,257.74,109.62,228.01,100.28
3,0.00019602,0.40929,332.63244,0.00000,125.07,125.98,124.79,124.75,125.53,141.82,118.76,95.14,104.75,84.47,128.3,126.1,127.46,129.01,130.76,147.88,124.02,98.26,109.2,87.08,143.51,143.51,152.37,128.52,97.36,113.2,86.67,125.84,123.61,124.97,126.58,128.38,141.42,119.41,95.15,105.06,84.25,123.16,123.16,135.59,114.66,92.08,101.11,81.71,147.61,145.45,146.79,148.34,149.96,183.71,151.32,105.9,132.1,94.98,145.35,146.19,145.16,145.09,145.53,176.72,146.1,101.84,128.0,91.16,144.97,144.97,177.69,145.65,101.4,127.45,91.1,238.97,241.07,239.42,238.0,238.23,337.38,294.04,139.29,259.39,130.66,241.42,238.92,240.37,242.13,244.29,336.7,294.86,138.03,260.51,129.69,257.74,257.74,334.83,291.29,140.12,256.98,131.35,230.4,226.15,228.86,231.66,234.9,324.91,282.87,137.02,250.17,128.4,226.87,226.87,324.32,281.16,137.73,248.29,128.98,275.22,273.59,274.73,275.58,276.78,365.39,325.28,117.57,288.03,108.71,275.94,276.96,276.16,275.58,275.44,368.91,325.86,119.03,288.33,110.23,272.61,272.61,363.53,321.65,115.14,284.31,106.12,189.9,190.46,189.5,189.92,190.13,252.45,218.41,98.15,193.48,90.34,191.63,190.75,191.09,191.91,193.01,254.3,219.78,98.72,194.71,90.84,204.24,204.24,249.39,215.5,100.79,191.15,92.43,179.43,177.79,178.65,180.0,181.47,242.73,208.61,100.71,185.43,92.05,178.24,178.24,241.72,207.94,100.05,184.75,91.53,217.05,216.67,216.73,217.2,217.66,303.87,253.74,109.39,223.57,99.92,215.96,215.75,215.55,216.24,216.52,298.29,251.23,103.94,221.59,95.0,214.63,214.63,297.66,249.03,105.13,219.51,95.84
4,0.00019406,0.38787,321.71448,0.00000,105.64,107.14,105.08,105.08,106.74,123.73,105.59,84.24,93.11,74.76,111.4,107.33,109.92,112.79,115.71,135.07,114.89,90.25,100.99,79.84,126.52,126.52,136.09,116.68,88.78,102.8,79.0,111.38,107.4,109.91,112.72,115.62,133.2,113.68,88.77,99.85,78.51,106.57,106.57,122.06,104.8,82.6,92.38,73.3,126.67,123.18,125.44,127.88,130.24,166.07,139.17,95.27,122.21,85.81,125.71,126.69,125.37,125.39,126.26,160.21,133.57,92.73,117.77,83.43,122.62,122.62,157.64,130.84,88.17,115.31,79.68,227.35,230.07,227.62,226.03,227.18,320.49,280.77,134.78,248.06,126.07,232.58,227.95,230.84,234.05,237.44,324.14,284.39,134.8,251.6,126.15,246.73,246.73,320.48,279.26,136.8,246.59,127.52,218.72,211.3,216.29,221.12,225.9,308.5,269.52,134.85,238.73,125.6,211.37,211.37,301.97,263.58,133.89,233.13,124.71,267.1,263.5,266.2,268.1,269.97,369.22,333.02,111.53,295.64,102.84,263.47,264.73,263.66,262.84,263.31,368.61,328.34,113.9,291.41,104.98,261.52,261.52,365.08,326.84,107.14,289.75,98.42,183.32,184.39,182.96,183.13,183.35,246.49,214.4,97.39,190.16,89.33,185.38,183.66,184.51,185.97,187.71,249.12,216.19,97.68,191.79,89.58,195.53,195.53,242.67,209.89,99.92,186.3,91.33,168.8,165.88,167.55,169.79,172.22,231.67,200.38,99.67,178.32,90.74,166.93,166.93,229.52,198.93,98.55,176.97,89.83,194.74,193.34,194.15,195.21,196.23,295.45,251.17,99.84,222.01,91.18,192.59,192.48,192.18,192.77,193.07,287.95,245.38,97.82,217.01,89.33,190.24,190.24,287.13,243.81,93.61,215.62,85.26
5,0.00019212,0.37147,313.77759,0.00000,114.13,116.04,113.62,113.43,115.01,125.33,105.57,82.13,92.74,73.06,120.55,115.98,118.91,122.16,125.22,135.79,115.1,89.12,100.84,78.93,135.43,135.43,137.33,117.34,86.31,103.04,76.87,119.92,115.39,118.3,121.51,124.53,133.95,113.96,87.54,99.89,77.56,114.1,114.1,123.98,105.02,81.41,92.34,72.45,138.27,135.42,137.17,139.27,141.32,153.31,134.04,87.97,118.77,79.5,137.08,138.11,136.94,136.77,137.09,154.23,132.79,88.38,117.97,79.85,134.17,134.17,145.71,126.85,81.36,112.77,73.86,211.98,214.85,211.25,210.68,213.87,276.15,241.46,120.72,214.66,113.17,222.16,215.36,219.72,224.2,229.39,291.71,254.76,122.3,226.61,114.54,235.14,235.14,281.47,244.21,122.58,216.84,114.43,212.07,202.77,209.08,214.83,221.38,277.19,240.67,118.66,214.33,110.85,199.61,199.61,256.79,223.24,116.14,198.62,108.58,426.64,422.35,424.38,427.85,432.48,493.3,468.26,109.75,430.62,101.96,409.59,411.33,408.93,408.93,410.94,474.81,446.21,111.91,411.38,103.93,398.44,398.44,465.09,438.52,104.78,403.15,97.35,199.35,200.61,198.94,199.06,199.68,239.17,207.67,91.61,185.39,84.92,202.62,200.35,201.55,203.47,205.26,245.55,212.79,92.46,189.86,85.7,219.82,219.82,242.25,209.47,93.2,186.93,86.26,187.24,183.89,185.86,188.47,190.83,224.2,192.9,89.73,172.85,82.77,184.87,184.87,218.48,188.52,88.59,168.92,81.79,458.92,455.37,457.09,460.06,463.26,519.15,490.93,88.42,455.82,81.92,445.75,445.21,445.09,446.04,447.1,502.6,474.15,88.4,440.94,81.86,434.32,434.32,493.38,465.19,83.53,432.09,77.48
6,0.00019020,0.35633,301.59703,0.00000,161.16,164.2,160.93,160.17,161.27,183.75,164.88,83.56,150.77,74.31,171.3,165.82,169.59,173.44,176.22,198.38,177.09,91.75,161.36,81.32,191.3,191.3,197.27,177.4,89.24,161.23,79.51,158.33,153.16,156.73,160.32,163.06,182.75,162.02,90.68,147.0,80.3,154.04,154.04,175.8,157.64,82.9,143.94,73.66,129.5,125.98,128.09,130.75,133.35,150.25,131.61,86.74,117.23,78.58,131.48,132.49,131.24,131.17,131.73,155.41,133.85,88.28,119.67,79.99,126.39,126.39,146.64,127.47,81.47,113.98,74.35,210.63,214.98,210.73,208.55,211.15,240.65,209.71,119.13,187.25,111.66,220.95,212.07,217.81,223.96,229.75,259.54,226.86,120.58,202.42,113.01,236.71,236.71,253.27,219.57,120.92,195.69,112.89,211.8,200.18,208.03,215.71,222.68,250.31,217.27,116.28,194.0,108.55,199.03,199.03,226.4,195.64,113.95,174.84,106.44,234.97,228.39,232.54,237.19,241.77,284.17,249.18,107.83,222.31,99.58,235.95,240.14,237.12,234.03,234.14,284.58,248.57,111.2,221.33,102.49,234.28,234.28,282.08,246.5,105.3,219.51,96.88,172.53,173.78,171.93,172.29,173.18,203.78,176.77,88.53,158.54,81.7,176.6,173.48,175.26,177.61,180.48,211.67,183.09,89.28,164.07,82.35,193.4,193.4,211.51,182.77,90.12,163.88,82.91,163.38,159.38,161.79,164.7,168.12,192.46,165.1,86.33,148.7,79.16,159.29,159.29,184.66,158.73,85.56,143.06,78.45,196.3,194.27,195.27,197.08,198.73,249.19,213.42,91.49,189.88,85.52,195.34,195.76,194.74,195.47,195.96,248.03,211.72,91.98,188.49,86.02,194.36,194.36,246.5,210.89,88.26,187.64,82.65
