EXP_INFO, , ,PID,2060132, , , , ,"train.py --config ckpt/0501/06_base01_vx1000/config.yaml -c ckpt/0501/06_base01_vx1000/ -gpu 4,5 -bs 256 -vertex_x1000", , ,Checkpoint,ckpt/0501/06_base01_vx1000/, , ,Config,ckpt/0501/06_base01_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
17,0.00017029,0.11433,156.38493,156.49926,36.72,36.57,36.63,36.76,36.95,48.36,38.12,26.8,34.27,24.53,38.0,31.4,34.01,40.27,48.59,48.25,39.32,29.12,35.06,26.48,45.23,39.55,41.73,47.19,54.49,59.57,48.8,36.2,43.52,32.75,69.51,69.51,58.55,47.03,39.55,41.47,35.49,30.83,30.83,39.51,30.81,21.61,27.59,19.82
19,0.00016690,0.10988,153.15020,153.26008,33.23,33.3,33.18,33.18,33.37,46.5,35.89,25.66,32.19,23.34,34.28,27.21,29.94,36.77,45.59,45.78,36.58,27.62,32.53,25.08,41.39,35.14,37.57,43.57,51.41,57.13,45.95,34.08,40.94,30.81,61.32,61.32,54.83,42.87,36.9,37.74,33.17,26.98,26.98,36.63,27.62,20.36,24.67,18.57
21,0.00016358,0.10732,151.29838,151.40570,34.56,34.6,34.53,34.56,34.64,46.68,36.36,25.6,32.64,23.39,35.31,28.17,31.09,37.85,46.35,45.41,36.3,26.62,32.42,24.24,40.18,33.47,36.24,42.56,50.54,53.77,42.98,31.25,38.45,28.41,59.4,59.4,53.02,41.6,35.32,36.66,31.79,27.83,27.83,36.29,27.38,18.83,24.6,17.35
23,0.00016033,0.10465,149.27568,149.38034,31.63,31.7,31.56,31.61,31.76,43.8,34.0,23.98,30.56,21.9,33.47,26.52,29.1,35.97,44.69,44.39,35.65,26.72,31.75,24.27,39.14,32.8,35.21,41.38,49.39,53.98,43.32,32.04,38.65,29.03,56.58,56.58,51.18,39.98,34.26,35.27,30.78,26.35,26.35,34.39,26.36,18.74,23.68,17.16
25,0.00015714,0.10257,147.85696,147.95952,31.99,32.13,31.93,31.95,32.08,44.36,34.39,23.05,31.05,21.2,33.53,26.78,29.39,35.98,44.15,45.03,35.64,26.2,31.86,23.84,38.74,32.37,34.88,41.01,48.74,53.32,42.61,30.66,38.17,27.9,56.75,56.75,52.69,40.92,33.95,36.26,30.59,26.04,26.04,35.48,26.5,18.14,23.89,16.72
27,0.00015401,0.10113,146.78890,146.89004,31.46,31.58,31.36,31.42,31.65,42.44,33.05,22.03,29.8,20.27,33.44,26.51,29.19,35.97,44.38,43.28,34.57,25.08,30.94,22.89,39.15,32.83,35.28,41.43,49.18,52.37,42.38,30.28,37.94,27.54,54.78,54.78,50.34,39.12,32.9,34.58,29.64,25.87,25.87,33.7,25.32,16.94,22.82,15.67
29,0.00015094,0.09940,145.51215,145.61155,32.19,32.29,32.12,32.18,32.34,41.95,32.34,21.9,29.12,20.22,34.56,28.27,30.57,36.82,44.84,43.68,34.75,25.03,31.21,22.89,39.11,33.11,35.36,41.23,48.88,51.14,41.07,29.54,36.73,26.95,57.9,57.9,51.67,39.9,33.18,35.45,29.92,27.68,27.68,34.75,25.99,17.14,23.6,15.92
31,0.00014794,0.09824,144.68353,144.78177,30.56,30.73,30.49,30.5,30.7,42.49,31.96,21.76,28.81,20.05,32.0,25.11,27.82,34.49,42.81,42.74,33.28,24.14,29.75,22.04,37.71,31.3,33.87,40.0,47.75,51.54,40.7,29.43,36.41,26.81,54.17,54.17,49.94,37.91,31.7,33.57,28.64,24.58,24.58,33.34,24.0,16.07,21.65,14.91
33,0.00014500,0.09807,144.53118,144.62925,35.39,35.41,35.28,35.39,35.65,46.88,36.28,23.52,32.78,21.72,35.95,30.36,32.27,37.9,45.54,46.34,36.91,25.79,33.03,23.62,40.92,35.4,37.42,42.86,50.1,54.18,43.05,29.71,38.65,27.16,60.5,60.5,55.92,43.42,34.69,38.44,31.41,30.39,30.39,38.51,29.81,19.28,26.81,17.87
35,0.00014211,0.09658,143.67061,143.76719,29.56,29.67,29.49,29.51,29.71,40.34,30.82,20.61,27.78,19.04,31.14,24.04,26.89,33.69,42.14,41.54,32.66,23.84,29.16,21.76,36.79,30.23,32.9,39.11,46.98,49.61,39.57,28.24,35.41,25.77,54.1,54.1,48.48,37.12,31.41,32.79,28.31,23.51,23.51,31.87,23.24,15.8,20.92,14.64
37,0.00013928,0.09602,143.42366,143.51968,30.25,30.35,30.18,30.21,30.37,41.2,31.21,20.97,28.13,19.36,31.76,24.93,27.71,34.21,42.3,42.42,32.9,23.78,29.39,21.71,37.18,30.85,33.46,39.4,46.95,50.28,39.69,28.4,35.53,25.91,54.2,54.2,50.4,38.13,31.93,33.73,28.78,24.43,24.43,32.95,23.81,15.65,21.44,14.54
39,0.00013651,0.09578,143.11262,143.20840,29.47,29.64,29.4,29.42,29.63,40.2,30.44,20.36,27.45,18.82,30.96,24.02,26.77,33.44,41.87,40.78,31.84,22.71,28.49,20.8,36.52,30.07,32.68,38.8,46.65,49.14,38.89,27.58,34.83,25.22,51.91,51.91,48.2,36.43,30.76,32.25,27.72,23.62,23.62,31.5,22.79,15.01,20.58,13.96
41,0.00013379,0.09313,140.91284,141.00596,29.64,29.84,29.57,29.57,29.76,40.87,31.12,20.48,28.17,18.98,31.56,24.9,27.47,33.95,42.17,41.56,32.62,23.39,29.2,21.44,36.44,30.07,32.64,38.7,46.38,49.45,39.23,27.83,35.19,25.46,53.18,53.18,49.37,37.18,31.29,33.07,28.32,24.33,24.33,32.62,23.86,15.55,21.59,14.51
43,0.00013113,0.09300,140.84927,140.94227,34.83,35.12,34.83,34.71,34.78,46.81,37.1,26.23,33.15,23.82,31.97,25.03,27.84,34.49,42.68,42.11,33.32,24.0,29.76,21.91,36.81,30.43,33.04,39.09,46.7,49.2,39.35,27.9,35.26,25.43,55.82,55.82,51.99,40.13,33.31,35.41,29.98,24.38,24.38,32.74,24.09,15.99,21.66,14.8
45,0.00012852,0.09134,139.73405,139.82539,29.08,29.16,29.01,29.06,29.24,39.37,29.94,19.55,27.01,18.1,30.86,23.97,26.77,33.3,41.55,40.67,31.69,22.52,28.34,20.6,36.02,29.64,32.27,38.25,45.94,48.43,38.37,27.13,34.35,24.77,52.36,52.36,48.08,36.07,30.37,31.89,27.37,23.51,23.51,31.39,22.67,14.44,20.48,13.46
47,0.00012596,0.09359,141.64342,141.73701,28.86,28.95,28.8,28.83,29.01,40.01,30.33,20.32,27.33,18.75,30.35,23.32,26.17,32.9,41.17,40.63,31.68,22.72,28.34,20.73,36.19,29.86,32.46,38.46,45.95,49.39,39.16,28.21,35.0,25.69,50.46,50.46,47.44,35.64,29.9,31.5,26.94,22.8,22.8,31.27,22.43,14.64,20.27,13.57
49,0.00012346,0.09005,138.82167,138.91172,28.33,28.45,28.26,28.29,28.48,39.39,29.67,19.63,26.71,18.19,29.88,22.88,25.68,32.39,40.79,40.1,31.16,22.3,27.82,20.42,35.42,29.09,31.62,37.64,45.37,48.41,38.27,27.06,34.23,24.75,50.02,50.02,47.13,35.08,29.67,30.97,26.78,22.37,22.37,30.69,21.71,14.28,19.54,13.31
51,0.00012100,0.09272,141.01093,141.10365,28.74,28.82,28.67,28.71,28.9,39.2,29.61,19.82,26.7,18.34,30.82,23.97,26.68,33.27,41.58,40.92,32.16,23.25,28.7,21.17,35.61,29.25,31.78,37.86,45.61,48.05,38.02,27.16,34.03,24.79,53.09,53.09,50.04,38.15,32.23,33.67,29.0,23.24,23.24,31.57,22.89,15.22,20.6,14.06
