EXP_INFO, , ,Checkpoint,ckpt/0301/02_NoNormAug_ModelDynaTUP, , ,Config,configs/03_train_on_non_AR_ICL/01_func333_model06_T16_DataTask00.yaml, , ,Arg,train.py --config configs/03_train_on_non_AR_ICL/01_func333_model06_T16_DataTask00.yaml -c ckpt/0301/02_NoNormAug_ModelDynaTUP -gpu 0 -bs 352 -aug 0 -normalize_2d 0 -normalize_3d 0, , ,PID,1525947
 , , , , , , , , , , , , , , , , 
Epoch,lr,train_loss,H36M_3D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AMASS, , , , , , , , , , , , , , , , ,PW3D_MESH, , , , , , , , , , , , , , , , 
 , , ,PE, , , , , , , , , , , , , , , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, ,PE, , ,MP, , , , ,FPE, , , , ,MC, ,MIB, 
 , , ,Avg,Direction,Discuss,Eating,Greet,Phone,Photo,Pose,Purchase,Sitting,SittingDown,Smoke,Wait,Walk,WalkDog,WalkTwo,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4,Avg,0,15,Avg,0,5,10,15,Avg,0,5,10,15,Avg,0.4,Avg,0.4
10,0.00018270,0.02337,60.51,52.46,59.55,51.89,58.26,59.77,73.11,56.03,57.33,64.89,79.51,58.2,57.47,56.18,65.1,57.96,10.1,17.73,12.13,6.98,3.57,34.3,29.82,32.73,35.6,39.04,36.49,36.49,122.29,122.29,38.45,48.94,27.97,21.72,39.04,26.72,15.0,6.12,61.87,48.91,57.02,65.61,75.96,52.92,52.92,234.78,234.78,215.29,217.97,212.62,53.56,93.24,69.79,40.25,10.94,221.47,216.88,219.5,222.82,226.66,163.14,163.14,250.02,250.02
11,0.00018088,0.02295,60.53,51.24,58.72,53.56,56.65,59.97,72.26,55.05,56.99,65.12,82.25,59.67,57.85,56.36,64.34,57.94,10.03,17.62,12.11,6.83,3.56,34.65,30.39,33.12,35.88,39.22,36.14,36.14,118.3,118.3,37.46,47.42,27.5,21.93,38.83,26.75,15.39,6.76,62.53,49.92,57.71,66.12,76.38,52.39,52.39,228.29,228.29,215.45,217.94,212.97,54.23,95.22,70.77,40.27,10.64,221.88,217.6,219.89,223.13,226.9,168.99,168.99,244.78,244.78
13,0.00017728,0.02190,58.88,49.62,57.64,51.65,55.14,57.3,72.18,54.11,55.67,62.1,79.41,56.19,56.09,55.57,63.54,57.07,9.91,17.01,11.65,6.84,4.14,33.57,29.3,32.05,34.77,38.17,35.04,35.04,111.47,111.47,36.87,47.4,26.34,19.86,36.26,24.2,13.39,5.61,60.59,47.41,55.78,64.44,74.72,50.1,50.1,212.48,212.48,216.62,219.2,214.05,51.74,91.37,67.51,38.45,9.61,222.71,218.33,220.75,224.0,227.77,173.6,173.6,229.73,229.73
15,0.00017375,0.02114,58.78,49.16,57.17,53.65,54.61,58.37,70.62,52.61,55.74,62.22,77.54,57.89,54.97,56.58,64.07,56.55,9.08,16.31,10.96,6.04,3.0,33.42,29.17,31.92,34.69,37.91,33.93,33.93,115.83,115.83,37.08,47.86,26.3,19.58,35.4,24.01,13.35,5.57,61.53,48.08,56.91,65.85,75.27,49.0,49.0,214.81,214.81,217.97,220.52,215.43,51.14,90.41,66.59,37.95,9.61,223.86,219.52,221.89,225.11,228.92,153.2,153.2,230.93,230.93
17,0.00017029,0.02043,59.25,52.09,59.74,53.18,56.17,58.36,70.74,54.82,55.56,63.06,74.71,57.21,56.18,55.9,63.86,57.17,8.99,15.84,10.7,6.13,3.31,33.55,29.45,31.98,34.76,38.03,33.58,33.58,111.96,111.96,37.25,47.8,26.71,18.28,33.71,22.52,12.16,4.73,60.14,47.34,55.35,64.08,73.82,48.41,48.41,211.98,211.98,217.99,220.41,215.57,49.23,87.86,64.18,36.13,8.75,223.99,219.65,221.86,225.21,229.26,141.44,141.44,226.51,226.51
19,0.00016690,0.01987,57.71,49.43,56.93,50.94,54.11,56.54,68.4,52.03,54.69,62.22,76.8,56.16,53.42,55.06,63.58,55.31,8.92,15.87,10.6,5.96,3.23,33.22,29.03,31.72,34.5,37.64,32.85,32.85,122.25,122.25,36.9,47.49,26.31,18.02,33.23,22.31,12.05,4.49,60.91,48.01,56.41,65.12,74.12,46.51,46.51,231.14,231.14,217.47,220.04,214.9,49.34,88.71,64.3,35.92,8.42,223.55,219.19,221.47,224.9,228.63,144.11,144.11,245.91,245.91
21,0.00016358,0.01945,58.88,49.27,56.94,54.19,55.32,59.64,72.09,52.97,54.71,62.53,75.03,57.79,55.5,55.92,63.47,57.88,8.07,14.96,9.75,5.08,2.51,33.26,29.09,31.75,34.51,37.7,32.49,32.49,114.99,114.99,36.57,46.81,26.33,17.69,33.19,21.89,11.56,4.11,60.31,47.59,56.03,64.44,73.18,46.62,46.62,219.54,219.54,219.5,222.04,216.97,47.32,84.92,61.8,34.61,7.94,225.3,221.14,223.22,226.58,230.27,154.95,154.95,237.04,237.04
23,0.00016033,0.01892,58.56,49.63,57.36,54.57,54.45,58.71,71.02,51.92,55.75,62.61,77.61,57.09,54.07,54.76,62.94,55.97,7.87,14.65,9.55,4.99,2.3,33.27,29.13,31.76,34.54,37.64,31.97,31.97,111.75,111.75,36.61,46.64,26.58,16.73,31.68,20.87,10.93,3.42,60.46,48.22,56.17,64.53,72.91,45.62,45.62,218.71,218.71,218.91,221.4,216.43,48.37,87.4,63.02,35.17,7.87,224.78,220.43,222.68,226.13,229.88,153.83,153.83,236.1,236.1
25,0.00015714,0.01852,58.51,50.15,57.83,52.45,55.04,57.37,69.98,54.0,55.07,61.88,78.06,55.99,54.89,55.29,63.08,56.57,7.68,14.48,9.41,4.86,1.99,33.02,28.84,31.55,34.37,37.33,31.56,31.56,114.19,114.19,36.61,47.07,26.15,16.68,31.5,20.82,10.93,3.46,59.95,47.02,55.71,64.5,72.56,44.8,44.8,219.66,219.66,218.43,220.88,215.99,48.49,86.91,63.42,35.78,7.84,224.08,219.57,222.15,225.6,229.01,133.26,133.26,236.66,236.66
27,0.00015401,0.01817,58.44,51.91,58.57,52.52,55.21,55.97,69.89,53.26,55.46,61.1,76.16,56.38,55.44,56.01,62.9,55.82,7.8,14.42,9.49,5.08,2.22,32.97,28.83,31.48,34.26,37.29,30.67,30.67,115.53,115.53,36.89,47.54,26.24,16.61,31.26,20.84,11.03,3.33,59.63,46.74,55.24,64.05,72.49,44.95,44.95,228.51,228.51,218.14,220.48,215.8,47.89,86.18,62.79,35.22,7.35,223.8,219.4,221.65,225.12,229.04,135.01,135.01,242.29,242.29
