EXP_INFO, , ,PID,982853, , , , ,"train.py --config ckpt/0502_AMASS_H36MMESH/02_smalldata_ApcbHecb/config.yaml -c ckpt/0502_AMASS_H36MMESH/02_smalldata_ApcbHecb/ -gpu 4,5 -bs 216", , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/02_smalldata_ApcbHecb/, , ,Config,ckpt/0502_AMASS_H36MMESH/02_smalldata_ApcbHecb/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.82443,138.71561,139.54005,195.75,196.27,195.97,195.52,195.23,682.68,665.25,122.57,623.53,111.29,209.0,209.0,683.52,665.96,122.35,624.18,111.2,197.09,197.09,683.22,665.61,122.37,623.83,111.21,256.79,256.7,256.76,256.88,256.79,386.27,334.3,127.24,292.95,119.16,271.73,271.73,386.19,334.22,127.24,292.87,119.16,258.54,258.54,386.24,334.32,127.29,292.95,119.21
2,0.00019800,0.74177,125.09189,125.83366,192.67,193.27,192.92,192.4,192.1,682.56,665.05,122.67,623.33,111.39,205.71,205.71,683.13,665.5,122.37,623.73,111.22,193.82,193.82,683.01,665.36,122.43,623.59,111.27,249.83,250.01,249.82,249.67,249.99,386.15,334.19,127.16,292.85,119.08,265.18,265.18,386.12,334.16,127.18,292.83,119.1,251.56,251.56,386.15,334.22,127.2,292.86,119.12
3,0.00019602,0.70758,120.45815,121.16573,183.35,183.96,183.59,183.08,182.79,682.58,665.13,122.65,623.4,111.37,195.63,195.63,683.13,665.51,122.39,623.74,111.23,184.66,184.66,683.05,665.44,122.43,623.66,111.27,253.23,253.46,253.61,253.18,252.49,386.23,334.25,127.13,292.91,119.05,268.24,268.24,386.12,334.14,127.18,292.82,119.1,255.08,255.08,386.16,334.2,127.2,292.86,119.12
4,0.00019406,0.68771,117.61879,118.30650,190.3,190.88,190.53,190.04,189.77,682.77,665.38,122.54,623.65,111.28,203.1,203.1,683.39,665.82,122.36,624.04,111.21,191.3,191.3,683.24,665.68,122.38,623.9,111.22,251.3,251.56,251.61,251.08,251.01,386.27,334.26,127.14,292.92,119.06,265.43,265.43,386.14,334.13,127.18,292.81,119.1,251.72,251.72,386.15,334.17,127.18,292.83,119.1
5,0.00019212,0.67448,115.67097,116.34545,182.9,183.55,183.15,182.63,182.28,682.74,665.33,122.61,623.6,111.34,195.85,195.85,683.29,665.73,122.4,623.94,111.25,184.58,184.58,683.17,665.6,122.43,623.83,111.27,248.99,249.33,249.06,248.91,248.67,386.27,334.24,127.18,292.91,119.1,264.0,264.0,386.09,334.08,127.24,292.76,119.16,250.53,250.53,386.11,334.11,127.23,292.78,119.15
