EXP_INFO, , ,PID,804800, , , , ,"train.py --config ckpt/0501/07_base00_vx1000/config.yaml -c ckpt/0501/07_base00_vx1000/ -gpu 6,7 -bs 256 -vertex_x1000", , ,Checkpoint,ckpt/0501/07_base00_vx1000/, , ,Config,ckpt/0501/07_base00_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,PE, , , , , , , , , ,MP, , , , , , , , , ,FPE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
17,0.00017029,0.38919,342.68448,343.07366,81.18,82.09,81.07,80.76,82.06,99.79,83.77,52.57,76.53,48.34,103.77,57.43,92.47,121.06,139.08,134.45,110.61,71.31,99.89,65.22,126.47,92.58,117.58,139.02,153.23,160.31,134.48,83.5,121.89,76.65,95.72,95.72,83.29,62.81,53.39,55.69,48.29,47.2,47.2,56.39,44.0,31.34,40.27,28.95
19,0.00016690,0.38087,336.47136,336.85224,95.22,95.07,94.73,95.38,96.52,105.64,90.54,56.75,82.67,52.81,120.25,83.63,110.32,134.47,149.62,143.0,119.96,73.67,108.91,67.91,142.39,117.27,135.0,152.25,163.28,173.2,147.07,88.53,133.24,82.11,112.75,112.75,86.81,67.74,54.52,61.02,49.83,62.7,62.7,59.56,48.72,31.22,45.28,29.1
21,0.00016358,0.37823,335.03532,335.41355,77.52,78.5,77.3,77.07,78.71,89.27,74.2,48.3,67.94,44.42,100.4,52.48,88.57,118.45,137.02,127.33,104.47,67.4,94.49,61.79,124.89,90.39,115.49,137.82,152.55,154.93,128.93,80.19,116.86,73.52,89.54,89.54,72.63,53.58,47.73,47.79,43.1,41.18,41.18,45.48,35.14,26.72,32.24,24.87
23,0.00016033,0.36734,326.87853,327.24587,72.36,73.89,72.33,71.71,72.96,90.28,75.26,47.47,69.06,43.69,96.58,46.63,84.75,115.34,133.79,125.76,103.23,66.7,93.49,61.11,118.08,81.09,108.18,132.1,147.27,151.63,126.48,78.7,114.87,72.21,84.0,84.0,72.46,53.98,46.84,48.35,42.31,36.2,36.2,45.05,35.14,25.6,32.35,23.71
25,0.00015714,0.36286,323.35278,323.71564,85.97,88.59,86.52,84.74,84.99,111.57,94.44,56.08,86.05,51.57,101.06,55.39,89.37,118.3,136.93,132.71,109.7,68.36,99.19,62.71,125.01,91.26,115.41,137.93,152.64,164.35,137.88,82.71,124.94,75.93,97.89,97.89,90.65,70.9,56.31,62.88,51.22,45.91,45.91,58.46,47.8,31.85,43.57,29.47
27,0.00015401,0.37355,330.14893,330.52248,71.8,73.37,71.61,71.25,72.6,88.13,72.9,47.11,66.77,43.24,96.62,48.23,84.5,115.04,133.67,123.36,100.82,65.29,91.37,59.73,118.6,82.4,108.83,132.4,147.19,151.61,125.67,78.08,114.02,71.55,82.05,82.05,71.82,52.92,46.87,47.4,42.27,36.22,36.22,43.12,32.82,25.46,30.32,23.42
29,0.00015094,0.35874,320.57041,320.92915,79.76,82.23,79.92,78.91,79.32,97.15,82.0,52.26,74.8,47.78,100.49,55.96,88.52,117.35,136.13,129.23,107.0,67.22,96.67,61.63,121.14,86.71,111.2,134.29,149.5,154.48,128.36,79.51,116.32,72.96,91.78,91.78,77.68,58.12,50.42,51.61,45.41,40.92,40.92,46.94,36.7,26.6,33.39,24.4
31,0.00014794,0.35221,315.97397,316.32618,73.51,75.04,73.47,73.02,74.01,92.41,77.54,48.43,71.09,44.81,94.78,45.58,82.67,113.19,132.44,123.47,101.42,64.84,91.9,59.38,118.2,81.99,108.21,131.92,147.34,152.64,127.27,78.67,115.57,72.27,79.34,79.34,72.66,54.08,45.47,48.61,41.19,37.27,37.27,46.3,36.44,25.31,33.61,23.34
33,0.00014500,0.35084,315.17911,315.52995,68.4,70.2,68.1,67.75,69.4,86.81,71.55,45.85,65.55,42.22,92.82,42.32,80.33,111.83,131.3,122.64,99.78,64.25,90.38,58.89,116.59,78.39,105.97,131.14,147.14,150.43,124.62,77.77,112.97,71.47,76.62,76.62,68.66,48.85,45.31,43.75,40.93,34.27,34.27,41.67,30.83,23.83,28.5,22.09
35,0.00014211,0.34824,312.56502,312.91326,75.18,76.11,74.93,75.02,75.96,93.23,77.94,47.93,71.44,44.37,96.95,49.09,84.77,115.12,133.81,126.83,103.36,65.23,93.53,59.73,117.7,81.77,107.52,131.44,146.84,152.09,125.78,77.7,114.21,71.41,82.11,82.11,72.09,53.28,46.23,47.68,41.8,37.34,37.34,46.65,35.71,25.24,32.89,23.29
