EXP_INFO, , ,PID,4190178, , , , ,"train.py --config ckpt/0502_AMASS_H36MMESH/04_smalldata_ApcbHecb_M01V00_vx1000/config.yaml -c ckpt/0502_AMASS_H36MMESH/04_smalldata_ApcbHecb_M01V00_vx1000/ -gpu 4,5 -bs 256 -vertex_x1000 -out 050204", , ,Checkpoint,ckpt/0502_AMASS_H36MMESH/04_smalldata_ApcbHecb_M01V00_vx1000/, , ,Config,ckpt/0502_AMASS_H36MMESH/04_smalldata_ApcbHecb_M01V00_vx1000/config.yaml, , 
 , , , , , , , , , , , , , , , , , , , 
Epoch,lr,JOINT,MESH,ALL,AMASS, , , , , , , , , , , , , , , , , , , , , , , ,H36M_MESH, , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,MP, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , ,PE, , , , , , , , , ,MC, , , , , , ,MIB, , , , , , 
 , , , , ,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0,5,10,15,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j,Avg,0.4,mpve,mpjpe,pa_mpjpe,mpjpe_17j,pa_mpjpe_17j
1,0.00020000,0.48063,381.36103,381.84166,143.01,141.91,142.54,143.36,144.34,158.64,135.6,99.37,119.27,88.24,189.67,189.67,167.64,144.9,100.09,127.86,89.05,137.38,137.38,156.85,134.45,98.93,118.43,87.97,237.57,237.91,237.24,237.33,238.67,353.1,307.8,129.57,271.25,121.38,265.14,265.14,355.15,309.42,132.57,272.82,124.37,227.52,227.52,349.56,304.32,129.4,268.09,121.29
2,0.00019800,0.41479,342.21857,342.63336,115.41,113.56,114.67,116.03,117.56,145.81,124.38,95.47,110.2,85.25,140.8,140.8,156.0,132.48,97.43,116.76,87.02,112.43,112.43,142.31,121.23,94.65,107.35,84.54,231.28,231.88,230.77,230.84,232.84,342.51,301.66,116.54,266.4,108.08,260.01,260.01,342.24,298.8,125.51,263.95,117.17,215.35,215.35,331.96,289.58,118.66,255.95,110.31
3,0.00019602,0.40081,335.87945,336.28026,113.78,111.29,112.87,114.62,116.42,138.12,118.73,93.46,104.48,83.09,132.41,132.41,150.89,128.78,96.52,113.28,85.97,105.39,105.39,133.39,114.9,92.3,101.21,82.17,224.46,226.17,223.97,223.48,226.27,334.88,295.33,113.54,261.5,104.79,254.94,254.94,333.29,291.17,124.17,257.76,115.08,202.97,202.97,320.39,280.61,115.94,248.63,107.18
4,0.00019406,0.38200,328.27252,328.65451,110.39,107.23,109.24,111.47,113.72,136.73,117.47,93.2,103.26,82.65,126.97,126.97,144.19,122.41,96.52,107.51,85.87,105.08,105.08,129.8,111.82,90.68,98.44,80.53,204.95,206.85,203.59,203.86,208.52,319.67,283.87,120.78,251.15,111.73,229.84,229.84,324.24,284.27,128.51,251.22,119.32,192.38,192.38,309.22,272.86,121.5,241.5,112.59
5,0.00019212,0.36603,320.66352,321.02955,103.75,98.84,102.18,105.48,108.29,136.66,117.0,92.03,102.56,81.69,119.98,119.98,143.16,121.13,94.59,106.23,84.24,95.63,95.63,125.71,108.22,86.49,95.11,76.86,183.15,185.32,181.3,181.84,188.13,235.08,203.67,105.37,182.6,97.44,208.35,208.35,252.76,220.58,113.99,196.58,106.09,171.05,171.05,228.43,198.68,104.54,178.12,96.83
6,0.00019020,0.35340,308.03304,308.38644,95.71,90.16,93.89,97.67,100.97,127.2,109.63,86.3,96.36,76.37,111.13,111.13,131.07,111.5,87.97,97.93,78.09,87.56,87.56,115.48,99.7,79.94,87.88,70.91,183.8,187.81,181.66,181.82,188.65,224.89,193.22,100.67,173.57,92.79,209.11,209.11,238.8,205.14,110.18,183.22,102.03,171.58,171.58,216.34,185.31,99.95,166.46,92.11
7,0.00018830,0.35017,310.70623,311.05640,95.98,89.76,93.97,98.16,101.83,122.67,105.57,84.1,92.9,74.31,111.82,111.82,125.85,107.78,85.06,94.91,75.44,87.03,87.03,110.74,95.39,77.23,84.18,68.42,178.24,181.48,176.75,176.44,182.27,241.55,206.59,107.52,184.88,99.74,198.8,198.8,245.17,211.06,112.07,188.28,104.29,159.42,159.42,221.58,189.33,101.99,169.63,94.39
8,0.00018641,0.34582,306.41013,306.75595,96.78,90.59,94.76,98.96,102.64,123.56,106.87,84.05,94.2,74.33,111.88,111.88,127.07,109.17,85.4,96.16,75.82,87.01,87.01,111.48,96.65,77.11,85.49,68.36,177.06,180.63,175.29,175.28,181.48,228.47,197.98,105.71,177.27,98.31,200.64,200.64,248.37,214.93,112.77,191.77,104.74,157.96,157.96,213.28,183.73,101.11,164.94,93.53
9,0.00018455,0.33399,299.31016,299.64414,91.28,84.97,89.23,93.47,97.26,118.53,102.19,81.65,89.88,72.12,107.31,107.31,121.81,104.54,84.21,91.82,74.69,82.18,82.18,106.63,92.55,75.2,81.67,66.57,173.42,177.93,171.66,171.06,177.92,218.05,186.77,99.93,167.76,92.18,197.37,197.37,236.3,203.43,109.09,181.84,101.2,152.3,152.3,199.81,170.33,96.8,153.56,89.1
